"No.","Time","Source","Destination","Protocol","Length","Info"
"40","2.679024","176.32.98.166","192.168.1.81","TCP","60","[TCP Dup ACK 39#1] 443 > 58990 [ACK] Seq=1 Ack=212 Win=2096896 Len=0"
"41","2.682054","176.32.98.166","192.168.1.81","TLSv1.2","1514","Server Hello"
"42","2.682519","176.32.98.166","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"43","2.682521","176.32.98.166","192.168.1.81","TLSv1.2","1514","Certificate"
"44","2.682522","176.32.98.166","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"45","2.682523","176.32.98.166","192.168.1.81","TLSv1.2","549","Certificate Status"
"46","2.682568","192.168.1.81","176.32.98.166","TCP","54","58990 > 443 [ACK] Seq=212 Ack=2921 Win=260672 Len=0"
"47","2.682628","192.168.1.81","176.32.98.166","TCP","54","58990 > 443 [ACK] Seq=212 Ack=5841 Win=259200 Len=0"
"48","2.682628","192.168.1.81","176.32.98.166","TCP","54","58990 > 443 [ACK] Seq=212 Ack=6336 Win=258720 Len=0"
"49","2.682628","192.168.1.81","176.32.98.166","TCP","54","[TCP Window Update] 58990 > 443 [ACK] Seq=212 Ack=6336 Win=262144 Len=0"
"50","2.683288","192.168.1.81","176.32.98.166","TLSv1.2","245","Client Key Exchange, Change Cipher Spec, Hello Request, Hello Request, Hello Request, Hello Request"
"52","2.687617","192.168.1.81","176.32.98.166","TLSv1.2","683","Application Data"
"53","2.701593","176.32.98.166","192.168.1.81","TLSv1.2","105","Change Cipher Spec, Encrypted Handshake Message"
"54","2.701680","192.168.1.81","176.32.98.166","TCP","54","58990 > 443 [ACK] Seq=1032 Ack=6387 Win=262080 Len=0"
"55","2.742167","176.32.98.166","192.168.1.81","TCP","60","443 > 58990 [ACK] Seq=6387 Ack=1032 Win=2096064 Len=0"
"56","2.782178","176.32.98.166","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"57","2.782754","176.32.98.166","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"58","2.782756","176.32.98.166","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"59","2.782757","176.32.98.166","192.168.1.81","TLSv1.2","351","Application Data"
"60","2.782793","192.168.1.81","176.32.98.166","TCP","54","58990 > 443 [ACK] Seq=1032 Ack=9307 Win=260672 Len=0"
"61","2.782793","192.168.1.81","176.32.98.166","TCP","54","58990 > 443 [ACK] Seq=1032 Ack=11064 Win=260384 Len=0"
"62","2.801261","192.168.1.81","192.168.1.211","TCP","181","[TCP segment of a reassembled PDU]"
"63","2.804860","192.168.1.211","192.168.1.81","TCP","99","[TCP segment of a reassembled PDU]"
"64","2.804919","192.168.1.81","192.168.1.211","TCP","66","58546 > 8009 [ACK] Seq=116 Ack=34 Win=4094 Len=0 TSval=247166878 TSecr=7019460"
"65","2.805334","192.168.1.211","192.168.1.81","TCP","177","[TCP segment of a reassembled PDU]"
"66","2.805374","192.168.1.81","192.168.1.211","TCP","66","58546 > 8009 [ACK] Seq=116 Ack=145 Win=4092 Len=0 TSval=247166878 TSecr=7019460"
"67","2.863892","176.32.98.166","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"68","2.863967","192.168.1.81","176.32.98.166","TCP","54","58990 > 443 [ACK] Seq=1032 Ack=12524 Win=262144 Len=0"
"69","2.864406","176.32.98.166","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"70","2.864408","176.32.98.166","192.168.1.81","TLSv1.2","643","Application Data"
"71","2.864431","192.168.1.81","176.32.98.166","TCP","54","58990 > 443 [ACK] Seq=1032 Ack=14573 Win=260064 Len=0"
"72","2.870112","176.32.98.166","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"73","2.870576","176.32.98.166","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"74","2.870580","176.32.98.166","192.168.1.81","TLSv1.2","100","Application Data"
"75","2.870618","192.168.1.81","176.32.98.166","TCP","54","58990 > 443 [ACK] Seq=1032 Ack=17493 Win=259200 Len=0"
"76","2.870670","192.168.1.81","176.32.98.166","TCP","54","58990 > 443 [ACK] Seq=1032 Ack=17539 Win=259168 Len=0"
"77","2.870680","192.168.1.81","176.32.98.166","TCP","54","[TCP Window Update] 58990 > 443 [ACK] Seq=1032 Ack=17539 Win=262144 Len=0"
"79","2.876240","176.32.98.166","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"80","2.876826","176.32.98.166","192.168.1.81","TLSv1.2","1371","Application Data"
"81","2.876861","192.168.1.81","176.32.98.166","TCP","54","58990 > 443 [ACK] Seq=1032 Ack=20316 Win=260800 Len=0"
"82","2.877614","176.32.98.166","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"83","2.877615","176.32.98.166","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"84","2.877616","176.32.98.166","192.168.1.81","TLSv1.2","242","Application Data"
"85","2.877645","192.168.1.81","176.32.98.166","TCP","54","58990 > 443 [ACK] Seq=1032 Ack=23236 Win=259200 Len=0"
"86","2.877645","192.168.1.81","176.32.98.166","TCP","54","[TCP Window Update] 58990 > 443 [ACK] Seq=1032 Ack=23236 Win=262144 Len=0"
"87","2.877695","192.168.1.81","176.32.98.166","TCP","54","58990 > 443 [ACK] Seq=1032 Ack=23424 Win=261952 Len=0"
"88","2.878577","176.32.98.166","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"89","2.878580","176.32.98.166","192.168.1.81","TLSv1.2","977","Application Data"
"90","2.878605","192.168.1.81","176.32.98.166","TCP","54","58990 > 443 [ACK] Seq=1032 Ack=25807 Win=259744 Len=0"
"91","2.880196","176.32.98.166","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"92","2.880200","176.32.98.166","192.168.1.81","TLSv1.2","1090","Application Data"
"93","2.880201","176.32.98.166","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"94","2.880202","176.32.98.166","192.168.1.81","TLSv1.2","928","Application Data"
"95","2.880247","192.168.1.81","176.32.98.166","TCP","54","58990 > 443 [ACK] Seq=1032 Ack=28303 Win=259648 Len=0"
"96","2.880247","192.168.1.81","176.32.98.166","TCP","54","58990 > 443 [ACK] Seq=1032 Ack=30637 Win=259808 Len=0"
"97","2.880782","176.32.98.166","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"98","2.880784","176.32.98.166","192.168.1.81","TLSv1.2","637","Application Data"
"99","2.880815","192.168.1.81","176.32.98.166","TCP","54","58990 > 443 [ACK] Seq=1032 Ack=32680 Win=260096 Len=0"
"100","2.898373","176.32.98.166","192.168.1.81","TLSv1.2","1405","Application Data"
"101","2.898423","192.168.1.81","176.32.98.166","TCP","54","58990 > 443 [ACK] Seq=1032 Ack=34031 Win=260768 Len=0"
"102","2.923517","176.32.98.166","192.168.1.81","TLSv1.2","422","Application Data"
"103","2.923569","192.168.1.81","176.32.98.166","TCP","54","58990 > 443 [ACK] Seq=1032 Ack=34399 Win=261760 Len=0"
"105","2.934568","192.168.1.81","54.192.103.131","TCP","78","58991 > 443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=32 TSval=247167004 TSecr=0 SACK_PERM=1"
"106","2.934663","176.32.98.166","192.168.1.81","TLSv1.2","1010","Application Data"
"107","2.934671","192.168.1.81","54.192.103.131","TCP","78","58992 > 443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=32 TSval=247167004 TSecr=0 SACK_PERM=1"
"108","2.934727","192.168.1.81","176.32.98.166","TCP","54","58990 > 443 [ACK] Seq=1032 Ack=35355 Win=261184 Len=0"
"109","2.934730","192.168.1.81","54.192.103.131","TCP","78","58993 > 443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=32 TSval=247167004 TSecr=0 SACK_PERM=1"
"110","2.934764","192.168.1.81","54.192.103.131","TCP","78","58994 > 443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=32 TSval=247167004 TSecr=0 SACK_PERM=1"
"111","2.934798","192.168.1.81","54.192.103.131","TCP","78","58995 > 443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=32 TSval=247167004 TSecr=0 SACK_PERM=1"
"112","2.950815","54.192.103.131","192.168.1.81","TCP","74","443 > 58991 [SYN, ACK] Seq=0 Ack=1 Win=14480 Len=0 MSS=1460 SACK_PERM=1 TSval=3719275060 TSecr=247167004 WS=256"
"113","2.951130","54.192.103.131","192.168.1.81","TCP","74","443 > 58995 [SYN, ACK] Seq=0 Ack=1 Win=14480 Len=0 MSS=1460 SACK_PERM=1 TSval=3725458955 TSecr=247167004 WS=256"
"114","2.951168","192.168.1.81","54.192.103.131","TCP","66","58991 > 443 [ACK] Seq=1 Ack=1 Win=131744 Len=0 TSval=247167020 TSecr=3719275060"
"115","2.951273","192.168.1.81","54.192.103.131","TCP","66","58995 > 443 [ACK] Seq=1 Ack=1 Win=131744 Len=0 TSval=247167020 TSecr=3725458955"
"116","2.951443","54.192.103.131","192.168.1.81","TCP","74","443 > 58992 [SYN, ACK] Seq=0 Ack=1 Win=14480 Len=0 MSS=1460 SACK_PERM=1 TSval=3914829657 TSecr=247167004 WS=256"
"117","2.951779","192.168.1.81","54.192.103.131","TCP","66","58992 > 443 [ACK] Seq=1 Ack=1 Win=131744 Len=0 TSval=247167020 TSecr=3914829657"
"118","2.951779","192.168.1.81","54.192.103.131","TLSv1.2","294","Client Hello"
"119","2.951950","192.168.1.81","54.192.103.131","TLSv1.2","294","Client Hello"
"120","2.952102","54.192.103.131","192.168.1.81","TCP","74","443 > 58993 [SYN, ACK] Seq=0 Ack=1 Win=14480 Len=0 MSS=1460 SACK_PERM=1 TSval=3719275060 TSecr=247167004 WS=256"
"121","2.952113","192.168.1.81","54.192.103.131","TLSv1.2","294","Client Hello"
"122","2.952160","192.168.1.81","54.192.103.131","TCP","66","58993 > 443 [ACK] Seq=1 Ack=1 Win=131744 Len=0 TSval=247167021 TSecr=3719275060"
"123","2.952336","192.168.1.81","54.192.103.131","TLSv1.2","294","Client Hello"
"124","2.953036","54.192.103.131","192.168.1.81","TCP","74","443 > 58994 [SYN, ACK] Seq=0 Ack=1 Win=14480 Len=0 MSS=1460 SACK_PERM=1 TSval=3915082751 TSecr=247167004 WS=256"
"125","2.953067","192.168.1.81","54.192.103.131","TCP","66","58994 > 443 [ACK] Seq=1 Ack=1 Win=131744 Len=0 TSval=247167022 TSecr=3915082751"
"126","2.953331","192.168.1.81","54.192.103.131","TLSv1.2","294","Client Hello"
"127","2.967157","54.192.103.131","192.168.1.81","TCP","66","443 > 58991 [ACK] Seq=1 Ack=229 Win=15616 Len=0 TSval=3719275061 TSecr=247167020"
"128","2.967356","54.192.103.131","192.168.1.81","TCP","66","443 > 58995 [ACK] Seq=1 Ack=229 Win=15616 Len=0 TSval=3725458956 TSecr=247167021"
"129","2.967846","54.192.103.131","192.168.1.81","TCP","66","443 > 58992 [ACK] Seq=1 Ack=229 Win=15616 Len=0 TSval=3914829658 TSecr=247167021"
"130","2.968407","54.192.103.131","192.168.1.81","TCP","66","443 > 58993 [ACK] Seq=1 Ack=229 Win=15616 Len=0 TSval=3719275061 TSecr=247167021"
"131","2.968718","54.192.103.131","192.168.1.81","TCP","66","443 > 58994 [ACK] Seq=1 Ack=229 Win=15616 Len=0 TSval=3915082753 TSecr=247167022"
"132","2.971903","54.192.103.131","192.168.1.81","TLSv1.2","1514","Server Hello"
"133","2.972418","54.192.103.131","192.168.1.81","TLSv1.2","1514","Certificate"
"134","2.972420","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"135","2.972421","54.192.103.131","192.168.1.81","TLSv1.2","477","Certificate Status"
"136","2.972470","192.168.1.81","54.192.103.131","TCP","66","58991 > 443 [ACK] Seq=229 Ack=2897 Win=129600 Len=0 TSval=247167040 TSecr=3719275062"
"137","2.972526","192.168.1.81","54.192.103.131","TCP","66","58991 > 443 [ACK] Seq=229 Ack=4756 Win=129184 Len=0 TSval=247167040 TSecr=3719275062"
"138","2.973236","54.192.103.131","192.168.1.81","TLSv1.2","1514","Server Hello"
"139","2.973239","54.192.103.131","192.168.1.81","TLSv1.2","1514","Certificate"
"140","2.973240","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"141","2.973241","54.192.103.131","192.168.1.81","TLSv1.2","477","Certificate Status"
"142","2.973242","54.192.103.131","192.168.1.81","TLSv1.2","1514","Server Hello"
"143","2.973276","192.168.1.81","54.192.103.131","TCP","66","58995 > 443 [ACK] Seq=229 Ack=2897 Win=128864 Len=0 TSval=247167041 TSecr=3725458957"
"144","2.973326","192.168.1.81","54.192.103.131","TCP","66","58995 > 443 [ACK] Seq=229 Ack=4756 Win=127008 Len=0 TSval=247167041 TSecr=3725458957"
"145","2.973327","192.168.1.81","54.192.103.131","TLSv1.2","257","Client Key Exchange, Change Cipher Spec, Hello Request, Hello Request, Hello Request, Hello Request"
"146","2.973772","192.168.1.81","54.192.103.131","TCP","66","[TCP Window Update] 58995 > 443 [ACK] Seq=229 Ack=4756 Win=131072 Len=0 TSval=247167041 TSecr=3725458957"
"147","2.974292","54.192.103.131","192.168.1.81","TLSv1.2","1514","Certificate"
"148","2.974296","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"149","2.974297","54.192.103.131","192.168.1.81","TLSv1.2","477","Certificate Status"
"150","2.974329","192.168.1.81","54.192.103.131","TCP","66","58992 > 443 [ACK] Seq=229 Ack=2897 Win=128864 Len=0 TSval=247167042 TSecr=3914829659"
"151","2.974378","192.168.1.81","54.192.103.131","TCP","66","58992 > 443 [ACK] Seq=229 Ack=4756 Win=127008 Len=0 TSval=247167042 TSecr=3914829659"
"152","2.974513","192.168.1.81","54.192.103.131","TLSv1.2","257","Client Key Exchange, Change Cipher Spec, Hello Request, Hello Request, Hello Request, Hello Request"
"153","2.974895","54.192.103.131","192.168.1.81","TLSv1.2","1514","Server Hello"
"154","2.974898","54.192.103.131","192.168.1.81","TLSv1.2","1514","Certificate"
"155","2.974899","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"156","2.974901","54.192.103.131","192.168.1.81","TLSv1.2","477","Certificate Status"
"157","2.974930","192.168.1.81","54.192.103.131","TCP","66","58994 > 443 [ACK] Seq=229 Ack=2897 Win=128864 Len=0 TSval=247167042 TSecr=3915082754"
"158","2.974937","192.168.1.81","54.192.103.131","TCP","66","58994 > 443 [ACK] Seq=229 Ack=4756 Win=127008 Len=0 TSval=247167042 TSecr=3915082754"
"159","2.975207","192.168.1.81","54.192.103.131","TCP","66","[TCP Window Update] 58992 > 443 [ACK] Seq=229 Ack=4756 Win=131072 Len=0 TSval=247167042 TSecr=3914829659"
"160","2.976039","192.168.1.81","54.192.103.131","TLSv1.2","257","Client Key Exchange, Change Cipher Spec, Hello Request, Hello Request, Hello Request, Hello Request"
"161","2.976421","192.168.1.81","54.192.103.131","TCP","66","[TCP Window Update] 58994 > 443 [ACK] Seq=229 Ack=4756 Win=131072 Len=0 TSval=247167043 TSecr=3915082754"
"162","2.977130","192.168.1.81","54.192.103.131","TLSv1.2","257","Client Key Exchange, Change Cipher Spec, Hello Request, Hello Request, Hello Request, Hello Request"
"163","2.979586","192.168.1.81","54.192.103.131","TLSv1.2","585","Application Data"
"164","2.979658","192.168.1.81","54.192.103.131","TLSv1.2","537","Application Data"
"165","2.979740","192.168.1.81","54.192.103.131","TLSv1.2","571","Application Data"
"166","2.979816","192.168.1.81","54.192.103.131","TLSv1.2","596","Application Data"
"167","2.980657","54.192.103.131","192.168.1.81","TLSv1.2","1514","Server Hello"
"168","2.981214","54.192.103.131","192.168.1.81","TLSv1.2","1514","Certificate"
"169","2.981216","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"170","2.981217","54.192.103.131","192.168.1.81","TLSv1.2","477","Certificate Status"
"171","2.981249","192.168.1.81","54.192.103.131","TCP","66","58993 > 443 [ACK] Seq=229 Ack=2897 Win=129600 Len=0 TSval=247167047 TSecr=3719275062"
"172","2.981300","192.168.1.81","54.192.103.131","TCP","66","58993 > 443 [ACK] Seq=229 Ack=4756 Win=129184 Len=0 TSval=247167047 TSecr=3719275062"
"173","2.982122","192.168.1.81","54.192.103.131","TLSv1.2","257","Client Key Exchange, Change Cipher Spec, Hello Request, Hello Request, Hello Request, Hello Request"
"174","2.982716","192.168.1.81","54.192.103.131","TLSv1.2","571","Application Data"
"175","2.990078","54.192.103.131","192.168.1.81","TLSv1.2","324","New Session Ticket, Change Cipher Spec, Encrypted Handshake Message"
"176","2.990116","192.168.1.81","54.192.103.131","TCP","66","58991 > 443 [ACK] Seq=939 Ack=5014 Win=130784 Len=0 TSval=247167055 TSecr=3719275064"
"177","2.991310","54.192.103.131","192.168.1.81","TLSv1.2","324","New Session Ticket, Change Cipher Spec, Encrypted Handshake Message"
"178","2.991341","192.168.1.81","54.192.103.131","TCP","66","58995 > 443 [ACK] Seq=891 Ack=5014 Win=130784 Len=0 TSval=247167056 TSecr=3725458959"
"179","2.992659","54.192.103.131","192.168.1.81","TLSv1.2","324","New Session Ticket, Change Cipher Spec, Encrypted Handshake Message"
"180","2.992707","192.168.1.81","54.192.103.131","TCP","66","58992 > 443 [ACK] Seq=925 Ack=5014 Win=130784 Len=0 TSval=247167057 TSecr=3914829661"
"181","2.994466","54.192.103.131","192.168.1.81","TLSv1.2","324","New Session Ticket, Change Cipher Spec, Encrypted Handshake Message"
"182","2.994496","192.168.1.81","54.192.103.131","TCP","66","58994 > 443 [ACK] Seq=950 Ack=5014 Win=130784 Len=0 TSval=247167058 TSecr=3915082756"
"183","2.995449","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"184","2.996023","54.192.103.131","192.168.1.81","TLSv1.2","649","Application Data"
"185","2.996025","54.192.103.131","192.168.1.81","TLSv1.2","100","Application Data"
"186","2.996026","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"187","2.996026","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"188","2.996027","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"189","2.996028","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"190","2.996029","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"191","2.996073","192.168.1.81","54.192.103.131","TCP","66","58995 > 443 [ACK] Seq=891 Ack=7045 Win=130464 Len=0 TSval=247167059 TSecr=3725458959"
"192","2.996073","192.168.1.81","54.192.103.131","TCP","66","58995 > 443 [ACK] Seq=891 Ack=7079 Win=131008 Len=0 TSval=247167059 TSecr=3725458959"
"193","2.996073","192.168.1.81","54.192.103.131","TCP","66","58991 > 443 [ACK] Seq=939 Ack=7910 Win=128160 Len=0 TSval=247167059 TSecr=3719275064"
"194","2.996073","192.168.1.81","54.192.103.131","TCP","66","58991 > 443 [ACK] Seq=939 Ack=10806 Win=125280 Len=0 TSval=247167059 TSecr=3719275064"
"195","2.996829","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"196","2.996832","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"197","2.996833","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"198","2.996834","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"199","2.996834","54.192.103.131","192.168.1.81","TLSv1.2","611","Application Data"
"200","2.996866","192.168.1.81","54.192.103.131","TCP","66","58991 > 443 [ACK] Seq=939 Ack=13702 Win=122368 Len=0 TSval=247167059 TSecr=3719275064"
"201","2.996873","192.168.1.81","54.192.103.131","TCP","66","58991 > 443 [ACK] Seq=939 Ack=16598 Win=119488 Len=0 TSval=247167059 TSecr=3719275064"
"202","2.996886","192.168.1.81","54.192.103.131","TCP","66","58992 > 443 [ACK] Seq=925 Ack=5559 Win=130496 Len=0 TSval=247167059 TSecr=3914829661"
"203","2.997210","192.168.1.81","54.192.103.131","TCP","66","58991 > 443 [ACK] Seq=939 Ack=18046 Win=131072 Len=0 TSval=247167060 TSecr=3719275064"
"204","2.997827","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"205","2.997831","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"206","2.997832","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"207","2.997833","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"208","2.997834","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"209","2.997835","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"210","2.997837","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"211","2.997893","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"212","2.997904","192.168.1.81","54.192.103.131","TCP","66","58992 > 443 [ACK] Seq=925 Ack=8455 Win=128160 Len=0 TSval=247167060 TSecr=3914829661"
"213","2.997904","192.168.1.81","54.192.103.131","TCP","66","58992 > 443 [ACK] Seq=925 Ack=11351 Win=125280 Len=0 TSval=247167060 TSecr=3914829661"
"214","2.997904","192.168.1.81","54.192.103.131","TCP","66","58992 > 443 [ACK] Seq=925 Ack=14247 Win=122368 Len=0 TSval=247167060 TSecr=3914829661"
"215","2.997917","192.168.1.81","54.192.103.131","TCP","66","58992 > 443 [ACK] Seq=925 Ack=17143 Win=119488 Len=0 TSval=247167060 TSecr=3914829661"
"216","2.998010","192.168.1.81","54.192.103.131","TCP","66","[TCP Window Update] 58992 > 443 [ACK] Seq=925 Ack=17143 Win=131072 Len=0 TSval=247167060 TSecr=3914829661"
"217","3.000932","54.192.103.131","192.168.1.81","TCP","66","443 > 58993 [ACK] Seq=4756 Ack=925 Win=17920 Len=0 TSval=3719275064 TSecr=247167048"
"218","3.002226","54.192.103.131","192.168.1.81","TLSv1.2","324","New Session Ticket, Change Cipher Spec, Encrypted Handshake Message"
"219","3.002310","192.168.1.81","54.192.103.131","TCP","66","58993 > 443 [ACK] Seq=925 Ack=5014 Win=130784 Len=0 TSval=247167064 TSecr=3719275065"
"220","3.002606","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"221","3.002629","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"222","3.002630","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"223","3.002632","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"224","3.002633","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"225","3.002635","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"226","3.002636","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"227","3.002753","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"228","3.002754","54.192.103.131","192.168.1.81","TCP","1514","[TCP segment of a reassembled PDU]"
"229","3.002798","192.168.1.81","54.192.103.131","TCP","66","58993 > 443 [ACK] Seq=925 Ack=7910 Win=128160 Len=0 TSval=247167064 TSecr=3719275065"
