"No.","Time","Source","Destination","Protocol","Length","Info"
"74","2.230871000","111.206.227.118","172.20.7.83","TCP","66","80 > 56715 [SYN, ACK] Seq=0 Ack=1 Win=14600 Len=0 MSS=1460 SACK_PERM=1 WS=128"
"75","2.230958000","172.20.7.83","111.206.227.118","TCP","54","56715 > 80 [ACK] Seq=1 Ack=1 Win=262144 Len=0"
"77","2.246014000","172.20.7.83","62.138.116.3","TCP","78","56719 > 80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=32 TSval=1626190501 TSecr=0 SACK_PERM=1"
"79","2.247698000","172.20.7.83","62.138.116.3","TCP","78","56720 > 80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=32 TSval=1626190502 TSecr=0 SACK_PERM=1"
"80","2.247823000","172.20.7.83","62.138.116.3","TCP","78","56721 > 80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=32 TSval=1626190502 TSecr=0 SACK_PERM=1"
"83","2.408921000","62.138.116.3","172.20.7.83","TCP","74","80 > 56719 [SYN, ACK] Seq=0 Ack=1 Win=14480 Len=0 MSS=1460 SACK_PERM=1 TSval=2115764877 TSecr=1626190501 WS=128"
"84","2.408998000","172.20.7.83","62.138.116.3","TCP","66","56719 > 80 [ACK] Seq=1 Ack=1 Win=131744 Len=0 TSval=1626190663 TSecr=2115764877"
"85","2.417118000","62.138.116.3","172.20.7.83","TCP","74","80 > 56721 [SYN, ACK] Seq=0 Ack=1 Win=14480 Len=0 MSS=1460 SACK_PERM=1 TSval=2043656560 TSecr=1626190502 WS=128"
"86","2.417193000","172.20.7.83","62.138.116.3","TCP","66","56721 > 80 [ACK] Seq=1 Ack=1 Win=131744 Len=0 TSval=1626190671 TSecr=2043656560"
"87","2.417573000","62.138.116.3","172.20.7.83","TCP","74","80 > 56720 [SYN, ACK] Seq=0 Ack=1 Win=14480 Len=0 MSS=1460 SACK_PERM=1 TSval=2043656561 TSecr=1626190502 WS=128"
"88","2.417626000","172.20.7.83","62.138.116.3","TCP","66","56720 > 80 [ACK] Seq=1 Ack=1 Win=131744 Len=0 TSval=1626190671 TSecr=2043656561"
"90","2.425728000","172.20.7.83","64.30.234.73","TCP","78","56722 > 80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=32 TSval=1626190679 TSecr=0 SACK_PERM=1"
"92","2.440961000","172.20.7.83","192.5.110.39","TCP","78","56723 > 80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=32 TSval=1626190694 TSecr=0 SACK_PERM=1"
"93","2.441023000","172.20.7.83","192.5.110.39","TCP","78","56724 > 80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=32 TSval=1626190694 TSecr=0 SACK_PERM=1"
"94","2.449998000","192.5.110.39","172.20.7.83","TCP","74","80 > 56723 [SYN, ACK] Seq=0 Ack=1 Win=14480 Len=0 MSS=1460 SACK_PERM=1 TSval=661093009 TSecr=1626190694 WS=32"
"95","2.450078000","172.20.7.83","192.5.110.39","TCP","66","56723 > 80 [ACK] Seq=1 Ack=1 Win=131744 Len=0 TSval=1626190703 TSecr=661093009"
"96","2.450284000","192.5.110.39","172.20.7.83","TCP","74","80 > 56724 [SYN, ACK] Seq=0 Ack=1 Win=14480 Len=0 MSS=1460 SACK_PERM=1 TSval=661093009 TSecr=1626190694 WS=32"
"97","2.450327000","172.20.7.83","192.5.110.39","TCP","66","56724 > 80 [ACK] Seq=1 Ack=1 Win=131744 Len=0 TSval=1626190703 TSecr=661093009"
"98","2.462629000","172.20.7.83","119.254.11.66","TCP","78","56725 > 80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=32 TSval=1626190715 TSecr=0 SACK_PERM=1"
"99","2.464796000","172.20.7.83","119.254.11.68","TCP","78","56726 > 80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=32 TSval=1626190717 TSecr=0 SACK_PERM=1"
"100","2.464894000","172.20.7.83","119.254.11.68","TCP","78","56727 > 80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=32 TSval=1626190717 TSecr=0 SACK_PERM=1"
"101","2.465044000","172.20.7.83","119.254.11.68","TCP","78","56728 > 80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=32 TSval=1626190717 TSecr=0 SACK_PERM=1"
"102","2.465466000","172.20.7.83","119.254.11.68","TCP","78","56729 > 80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=32 TSval=1626190717 TSecr=0 SACK_PERM=1"
"103","2.466712000","172.20.7.83","119.254.11.66","TCP","78","56730 > 80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=32 TSval=1626190718 TSecr=0 SACK_PERM=1"
"104","2.466949000","172.20.7.83","119.254.11.66","TCP","78","56731 > 80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=32 TSval=1626190718 TSecr=0 SACK_PERM=1"
"105","2.467194000","172.20.7.83","119.254.11.66","TCP","78","56732 > 80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=32 TSval=1626190718 TSecr=0 SACK_PERM=1"
"106","2.467656000","172.20.7.83","119.254.11.66","TCP","78","56733 > 80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=32 TSval=1626190718 TSecr=0 SACK_PERM=1"
"107","2.467932000","172.20.7.83","119.254.11.66","TCP","78","56734 > 80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=32 TSval=1626190719 TSecr=0 SACK_PERM=1"
"108","2.468727000","172.20.7.83","119.254.11.66","TCP","78","56735 > 80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=32 TSval=1626190719 TSecr=0 SACK_PERM=1"
"109","2.469137000","172.20.7.83","119.254.11.66","TCP","78","56736 > 80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=32 TSval=1626190720 TSecr=0 SACK_PERM=1"
"110","2.469644000","172.20.7.83","119.254.11.66","TCP","78","56737 > 80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=32 TSval=1626190720 TSecr=0 SACK_PERM=1"
"111","2.470059000","172.20.7.83","119.254.11.66","TCP","78","56738 > 80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=32 TSval=1626190721 TSecr=0 SACK_PERM=1"
"112","2.470327000","172.20.7.83","119.254.11.66","TCP","78","56739 > 80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=32 TSval=1626190721 TSecr=0 SACK_PERM=1"
"113","2.470526000","172.20.7.83","119.254.11.66","TCP","78","56740 > 80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=32 TSval=1626190721 TSecr=0 SACK_PERM=1"
"114","2.473951000","64.30.234.73","172.20.7.83","TCP","58","80 > 56722 [SYN, ACK] Seq=0 Ack=1 Win=8190 Len=0 MSS=1460"
"115","2.474043000","172.20.7.83","64.30.234.73","TCP","54","56722 > 80 [ACK] Seq=1 Ack=1 Win=65535 Len=0"
"117","2.535426000","172.20.7.83","192.229.163.158","TCP","78","56741 > 80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=32 TSval=1626190784 TSecr=0 SACK_PERM=1"
"118","2.535492000","172.20.7.83","192.229.163.158","TCP","78","56742 > 80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=32 TSval=1626190785 TSecr=0 SACK_PERM=1"
"119","2.558548000","192.229.163.158","172.20.7.83","TCP","74","80 > 56742 [SYN, ACK] Seq=0 Ack=1 Win=14480 Len=0 MSS=1460 SACK_PERM=1 TSval=3359971035 TSecr=1626190785 WS=512"
"120","2.558635000","172.20.7.83","192.229.163.158","TCP","66","56742 > 80 [ACK] Seq=1 Ack=1 Win=131744 Len=0 TSval=1626190808 TSecr=3359971035"
"121","2.559906000","192.229.163.158","172.20.7.83","TCP","74","80 > 56741 [SYN, ACK] Seq=0 Ack=1 Win=14480 Len=0 MSS=1460 SACK_PERM=1 TSval=2015227058 TSecr=1626190784 WS=512"
"122","2.559975000","172.20.7.83","192.229.163.158","TCP","66","56741 > 80 [ACK] Seq=1 Ack=1 Win=131744 Len=0 TSval=1626190809 TSecr=2015227058"
"125","2.671854000","119.254.11.68","172.20.7.83","TCP","74","80 > 56729 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 WS=8 SACK_PERM=1 TSval=41530033 TSecr=1626190717"
"126","2.671943000","172.20.7.83","119.254.11.68","TCP","66","56729 > 80 [ACK] Seq=1 Ack=1 Win=131744 Len=0 TSval=1626190920 TSecr=41530033"
"127","2.672234000","119.254.11.68","172.20.7.83","TCP","74","80 > 56726 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 WS=8 SACK_PERM=1 TSval=3002697306 TSecr=1626190717"
"128","2.672237000","119.254.11.68","172.20.7.83","TCP","74","80 > 56727 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 WS=8 SACK_PERM=1 TSval=1851865660 TSecr=1626190717"
"129","2.672278000","172.20.7.83","119.254.11.68","TCP","66","56726 > 80 [ACK] Seq=1 Ack=1 Win=131744 Len=0 TSval=1626190920 TSecr=3002697306"
"130","2.672330000","172.20.7.83","119.254.11.68","TCP","66","56727 > 80 [ACK] Seq=1 Ack=1 Win=131744 Len=0 TSval=1626190920 TSecr=1851865660"
"131","2.672644000","119.254.11.68","172.20.7.83","TCP","74","80 > 56728 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 WS=8 SACK_PERM=1 TSval=2015775009 TSecr=1626190717"
"132","2.672693000","172.20.7.83","119.254.11.68","TCP","66","56728 > 80 [ACK] Seq=1 Ack=1 Win=131744 Len=0 TSval=1626190920 TSecr=2015775009"
"133","2.746826000","172.20.7.83","49.129.31.76","TCP","78","56743 > 80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=32 TSval=1626190993 TSecr=0 SACK_PERM=1"
"134","2.747937000","172.20.7.83","49.129.31.76","TCP","78","56744 > 80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=32 TSval=1626190994 TSecr=0 SACK_PERM=1"
"135","2.748013000","172.20.7.83","49.129.31.76","TCP","78","56745 > 80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=32 TSval=1626190994 TSecr=0 SACK_PERM=1"
"137","2.766252000","172.20.7.83","66.135.211.132","TCP","78","56746 > 80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=32 TSval=1626191012 TSecr=0 SACK_PERM=1"
"139","2.804818000","172.20.7.83","104.69.219.52","TCP","78","56747 > 80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=32 TSval=1626191050 TSecr=0 SACK_PERM=1"
"140","2.805091000","172.20.7.83","104.69.219.52","TCP","78","56748 > 80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=32 TSval=1626191050 TSecr=0 SACK_PERM=1"
"142","2.880816000","104.69.219.52","172.20.7.83","TCP","74","80 > 56747 [SYN, ACK] Seq=0 Ack=1 Win=28240 Len=0 MSS=1424 SACK_PERM=1 TSval=1151324071 TSecr=1626191050 WS=32"
"143","2.880899000","172.20.7.83","104.69.219.52","TCP","66","56747 > 80 [ACK] Seq=1 Ack=1 Win=131296 Len=0 TSval=1626191126 TSecr=1151324071"
"144","2.881203000","104.69.219.52","172.20.7.83","TCP","74","80 > 56748 [SYN, ACK] Seq=0 Ack=1 Win=28240 Len=0 MSS=1424 SACK_PERM=1 TSval=1195537739 TSecr=1626191050 WS=32"
"145","2.881250000","172.20.7.83","104.69.219.52","TCP","66","56748 > 80 [ACK] Seq=1 Ack=1 Win=131296 Len=0 TSval=1626191126 TSecr=1195537739"
"146","2.883948000","119.254.11.66","172.20.7.83","TCP","74","80 > 56725 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 WS=8 SACK_PERM=1 TSval=3632276221 TSecr=1626190715"
"147","2.884039000","172.20.7.83","119.254.11.66","TCP","66","56725 > 80 [ACK] Seq=1 Ack=1 Win=131744 Len=0 TSval=1626191129 TSecr=3632276221"
"149","2.890894000","119.254.11.66","172.20.7.83","TCP","74","80 > 56730 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 WS=8 SACK_PERM=1 TSval=3464613975 TSecr=1626190718"
"150","2.890968000","172.20.7.83","119.254.11.66","TCP","66","56730 > 80 [ACK] Seq=1 Ack=1 Win=131744 Len=0 TSval=1626191135 TSecr=3464613975"
"151","2.892201000","119.254.11.66","172.20.7.83","TCP","74","80 > 56732 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 WS=8 SACK_PERM=1 TSval=3384821879 TSecr=1626190718"
"152","2.892204000","119.254.11.66","172.20.7.83","TCP","74","80 > 56733 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 WS=8 SACK_PERM=1 TSval=1955333715 TSecr=1626190718"
"153","2.892205000","119.254.11.66","172.20.7.83","TCP","74","80 > 56734 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 WS=8 SACK_PERM=1 TSval=1387929307 TSecr=1626190719"
"154","2.892264000","172.20.7.83","119.254.11.66","TCP","66","56732 > 80 [ACK] Seq=1 Ack=1 Win=131744 Len=0 TSval=1626191136 TSecr=3384821879"
"155","2.892324000","172.20.7.83","119.254.11.66","TCP","66","56733 > 80 [ACK] Seq=1 Ack=1 Win=131744 Len=0 TSval=1626191136 TSecr=1955333715"
"156","2.892324000","172.20.7.83","119.254.11.66","TCP","66","56734 > 80 [ACK] Seq=1 Ack=1 Win=131744 Len=0 TSval=1626191136 TSecr=1387929307"
"157","2.893181000","119.254.11.66","172.20.7.83","TCP","74","80 > 56737 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 WS=8 SACK_PERM=1 TSval=835238836 TSecr=1626190720"
"158","2.893184000","119.254.11.66","172.20.7.83","TCP","74","80 > 56736 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 WS=8 SACK_PERM=1 TSval=1901236582 TSecr=1626190720"
"159","2.893185000","119.254.11.66","172.20.7.83","TCP","74","80 > 56731 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 WS=8 SACK_PERM=1 TSval=2478210087 TSecr=1626190718"
"160","2.893241000","172.20.7.83","119.254.11.66","TCP","66","56737 > 80 [ACK] Seq=1 Ack=1 Win=131744 Len=0 TSval=1626191136 TSecr=835238836"
"161","2.893297000","172.20.7.83","119.254.11.66","TCP","66","56736 > 80 [ACK] Seq=1 Ack=1 Win=131744 Len=0 TSval=1626191137 TSecr=1901236582"
"162","2.893297000","172.20.7.83","119.254.11.66","TCP","66","56731 > 80 [ACK] Seq=1 Ack=1 Win=131744 Len=0 TSval=1626191137 TSecr=2478210087"
"163","2.893551000","119.254.11.66","172.20.7.83","TCP","74","80 > 56740 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 WS=8 SACK_PERM=1 TSval=3537739632 TSecr=1626190721"
"164","2.893589000","172.20.7.83","119.254.11.66","TCP","66","56740 > 80 [ACK] Seq=1 Ack=1 Win=131744 Len=0 TSval=1626191137 TSecr=3537739632"
"165","2.894088000","119.254.11.66","172.20.7.83","TCP","74","80 > 56739 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 WS=8 SACK_PERM=1 TSval=162998004 TSecr=1626190721"
"166","2.894136000","172.20.7.83","119.254.11.66","TCP","66","56739 > 80 [ACK] Seq=1 Ack=1 Win=131744 Len=0 TSval=1626191137 TSecr=162998004"
"167","2.905862000","119.254.11.66","172.20.7.83","TCP","74","80 > 56735 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 WS=8 SACK_PERM=1 TSval=2268476556 TSecr=1626190719"
"168","2.905936000","172.20.7.83","119.254.11.66","TCP","66","56735 > 80 [ACK] Seq=1 Ack=1 Win=131744 Len=0 TSval=1626191149 TSecr=2268476556"
"169","2.923206000","66.135.211.132","172.20.7.83","TCP","58","80 > 56746 [SYN, ACK] Seq=0 Ack=1 Win=8190 Len=0 MSS=1460"
"170","2.923287000","172.20.7.83","66.135.211.132","TCP","54","56746 > 80 [ACK] Seq=1 Ack=1 Win=65535 Len=0"
"172","2.982297000","172.20.7.83","23.227.10.30","TCP","78","56749 > 80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=32 TSval=1626191224 TSecr=0 SACK_PERM=1"
"174","2.987814000","172.20.7.83","72.21.91.8","TCP","78","56750 > 80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=32 TSval=1626191229 TSecr=0 SACK_PERM=1"
"175","2.987897000","172.20.7.83","72.21.91.8","TCP","78","56751 > 80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=32 TSval=1626191229 TSecr=0 SACK_PERM=1"
"176","3.011000000","49.129.31.76","172.20.7.83","TCP","58","80 > 56743 [SYN, ACK] Seq=0 Ack=1 Win=12400 Len=0 MSS=1240"
"177","3.011084000","172.20.7.83","49.129.31.76","TCP","54","56743 > 80 [ACK] Seq=1 Ack=1 Win=65535 Len=0"
"178","3.012848000","49.129.31.76","172.20.7.83","TCP","58","80 > 56744 [SYN, ACK] Seq=0 Ack=1 Win=12400 Len=0 MSS=1240"
"179","3.012852000","72.21.91.8","172.20.7.83","TCP","74","80 > 56750 [SYN, ACK] Seq=0 Ack=1 Win=14480 Len=0 MSS=1460 SACK_PERM=1 TSval=2015157381 TSecr=1626191229 WS=512"
"180","3.012915000","172.20.7.83","49.129.31.76","TCP","54","56744 > 80 [ACK] Seq=1 Ack=1 Win=65535 Len=0"
"181","3.012973000","172.20.7.83","72.21.91.8","TCP","66","56750 > 80 [ACK] Seq=1 Ack=1 Win=131744 Len=0 TSval=1626191253 TSecr=2015157381"
"182","3.014225000","72.21.91.8","172.20.7.83","TCP","74","80 > 56751 [SYN, ACK] Seq=0 Ack=1 Win=14480 Len=0 MSS=1460 SACK_PERM=1 TSval=2015129837 TSecr=1626191229 WS=512"
"183","3.014293000","172.20.7.83","72.21.91.8","TCP","66","56751 > 80 [ACK] Seq=1 Ack=1 Win=131744 Len=0 TSval=1626191254 TSecr=2015129837"
"184","3.024298000","49.129.31.76","172.20.7.83","TCP","58","80 > 56745 [SYN, ACK] Seq=0 Ack=1 Win=12400 Len=0 MSS=1240"
